;,type,id,=,(,),{,},",",return,const,<,>,<=,>=,==,!=,+,-,*,/,&&,||,!,true,false,number,eof,S,список_операторов,оператор,объявление,тело_объявления,параметры_объявления,список_параметров,возвращение,присваивание,константа,выражение,список_предикатов,предикат,список_слагаемых,слагаемое,список_множителей,множитель,список_логических_выражений,логическое_выражение,вызов_логического_выражения,параметры_вызова,список_значений
,s7,s8,,,,,,,s10,s9,,,,,,,,,,,,,,,,,r2,,s1,s2,s3,,,,s6,s4,s5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,r0,,,,,,,,,,,,,,,,,,,,,,
,,,,,r25,,,,,,s80,s81,s82,s83,s84,s85,,,,,,,,,,,,,,,,,,,,,,,s134,,,,,,,,,,
,,,,,r25,,,,,,s80,s81,s82,s83,s84,s85,,,,,,,,,,,,,,,,,,,,,,,s135,,,,,,,,,,
,,,,,r25,,,,,,s80,s81,s82,s83,s84,s85,,,,,,,,,,,,,,,,,,,,,,,s136,,,,,,,,,,
,,,,,r25,,,,,,s80,s81,s82,s83,s84,s85,,,,,,,,,,,,,,,,,,,,,,,s137,,,,,,,,,,
,,,,,r25,,,,,,s80,s81,s82,s83,s84,s85,,,,,,,,,,,,,,,,,,,,,,,s138,,,,,,,,,,
,,,,,r25,,,,,,s80,s81,s82,s83,s84,s85,,,,,,,,,,,,,,,,,,,,,,,s139,,,,,,,,,,
,,,,,r29,,,,,,r29,r29,r29,r29,r29,r29,s87,s88,,,,,,,,,,,,,,,,,,,,,,,s140,,,,,,,,
,,,,,r29,,,,,,r29,r29,r29,r29,r29,r29,s87,s88,,,,,,,,,,,,,,,,,,,,,,,s141,,,,,,,,
,,,,,r33,,,,,,r33,r33,r33,r33,r33,r33,r33,r33,s90,s91,,,,,,,,,,,,,,,,,,,,,,,s142,,,,,,
,,,,,r33,,,,,,r33,r33,r33,r33,r33,r33,r33,r33,s90,s91,,,,,,,,,,,,,,,,,,,,,,,s143,,,,,,
,,,,,r37,,,,,,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,s93,s94,,,,,,,,,,,,,,,,,,,,,,,s144,,,,
,,,,,r37,,,,,,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,s93,s94,,,,,,,,,,,,,,,,,,,,,,,s145,,,,
,,,,,s146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r43,,,,,,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s7,s8,,,,,r2,,s10,s9,,,,,,,,,,,,,,,,,,,s147,s148,s3,,,,s6,s4,s5,,,,,,,,,,,,
,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r49,,,s115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s150
,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r27,,,,,,r27,r27,r27,r27,r27,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r28,,,,,,r28,r28,r28,r28,r28,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r31,,,,,,r31,r31,r31,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r32,,,,,,r32,r32,r32,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r35,,,,,,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r36,,,,,,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r44,,,,,,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,s151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s7,s8,,,,,r2,,s10,s9,,,,,,,,,,,,,,,,,,,s154,s148,s3,,,,s6,s4,s5,,,,,,,,,,,,
,,,,,r14,,,s132,,,,,,,,,,,,,,,,,,,,,,,,,,s155,,,,,,,,,,,,,,,
,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
